N.º;País (o territorio dependiente);Población estimada por la ONU para mediados del año  1950;% del total mundial;#;País;Índice de Desarrollo Humano[10]​[1]​;Índice de Desarrollo Humano[10]​[1]​.1;Índice de Desarrollo Humano[10]​[1]​.2;Índice de Desarrollo Humano[10]​[1]​.3;Índice de Desarrollo Humano[10]​[1]​.4;Índice de Desarrollo Humano[10]​[1]​.5;Índice de Desarrollo Humano[10]​[1]​.6
132;Estonia;1 102 000;4.0;36°;Estonia;0905;0902;0901;0888;0868;0793;0003
;;;;127°;Esuatini;0695;0695;0657;0607;0534;0493;0000
26;Etiopía;17 710 000;71.0;180°;Etiopía;0497;0494;0486;0456;0415;0293;0003
24;Filipinas;18 470 000;74.0;117°;Filipinas;0720;0714;0699;0690;0669;0632;0006
75;Finlandia;4 008 000;16.0;12°;Finlandia;0948;0946;0947;0938;0920;0898;0002
156;Fiyi;308 000;1.0;111°;Fiyi;0731;0726;0718;0715;0697;0698;0005
11;Francia;41 842 000;167.0;26°;Francia;0920;0916;0909;0901;0888;0852;0004
149;Gabón;473 000;2.0;108°;Gabón;0733;0730;0732;0720;0684;0652;0003
157;Gambia;307 000;1.0;170°;Gambia;0524;0519;0512;0482;0463;0403;0005
81;Georgia;3 517 000;14.0;57°;Georgia;0844;0838;0822;0807;0799;0705;0006
66;Ghana;5 078 000;20.0;144°;Ghana;0628;0625;0614;0588;0558;0487;0003
208;Gibraltar (RU);21 000;0.0;;;;;;;;;
179;Granada;77 000;0.0;80°;Granada;0791;0789;0782;0782;0771;0744;0005
47;Grecia;7 669 000;31.0;34°;Grecia;0908;0897;0896;0888;0876;0828;0011
207;Groenlandia (Dinamarca);23 000;0.0;;;;;;;;;
164;Guadalupe (Francia);215 000;1.0;;;;;;;;;
187;Guam (EE. UU.);61 000;0.0;;;;;;;;;
86;Guatemala;3 100 000;12.0;137°;Guatemala;0662;0655;0645;0638;0623;0563;0007
206;Guayana Francesa;23 000;0.0;;;;;;;;;
197;Guernsey (RU);44 000;0.0;;;;;;;;;
89;Guinea;2 984 000;12.0;179°;Guinea;0500;0498;0488;0465;0430;0359;0002
163;Guinea Ecuatorial;226 000;1.0;133°;Guinea Ecuatorial;0674;0677;0668;0656;0612;0508;0003
145;Guinea-Bisáu;543 000;2.0;174°;Guinea-Bisáu;0514;0511;0498;0481;0452;0412;0001
152;Guyana;418 000;2.0;89°;Guyana;0776;0763;0722;0683;0647;0567;0013
84;Haití;3 247 000;13.0;166°;Haití;0554;0552;0555;0552;0536;0497;0002
116;Honduras;1 558 000;6.0;139°;Honduras;0645;0643;0625;0610;0596;0558;0002
;;;;8°;Hong Kong;0955;0950;0950;0937;0912;0839;0005
111;Hong Kong (China);1 981 000;8.0;;;;;;;;;
36;Hungría;9 338 000;37.0;46°;Hungría;0870;0867;0857;0847;0838;0781;0003
;;;;IDH Alto;IDH Alto;IDH Alto;IDH Alto;IDH Alto;IDH Alto;IDH Alto;IDH Alto;IDH Alto
;;;;IDH Bajo;IDH Bajo;IDH Bajo;IDH Bajo;IDH Bajo;IDH Bajo;IDH Bajo;IDH Bajo;IDH Bajo
;;;;IDH Medio;IDH Medio;IDH Medio;IDH Medio;IDH Medio;IDH Medio;IDH Medio;IDH Medio;IDH Medio
;;;;IDH Muy Alto;IDH Muy Alto;IDH Muy Alto;IDH Muy Alto;IDH Muy Alto;IDH Muy Alto;IDH Muy Alto;IDH Muy Alto;IDH Muy Alto
2;India;357 021 000;1428.0;130°;India;0685;0676;0652;0633;0590;0501;0009
7;Indonesia;69 568 000;278.0;113°;Indonesia;0728;0726;0710;0701;0671;0600;0003
64;Irak;5 656 000;23.0;126°;Irak;0695;0695;0680;0675;0650;0592;0000
91;Irlanda;2 907 000;12.0;11°;Irlanda;0949;0947;0948;0931;0915;0869;0002
28;Irán;16 833 000;67.0;75°;Irán;0799;0793;0775;0788;0778;0710;0006
190;Isla de Man (RU);55 000;0.0;;;;;;;;;
172;Islandia;143 000;1.0;1°;Islandia;0972;0964;0965;0956;0935;0902;0008
221;Islas Caimán (RU);7 000;0.0;;;;;;;;;
212;Islas Cook (NZ);15 000;0.0;;;;;;;;;
202;Islas Feroe (Dinamarca);32 000;0.0;;;;;;;;;
233;Islas Malvinas (RU);2 000;0.0;;;;;;;;;
222;Islas Marianas del Norte (EE. UU.);7 000;0.0;;;;;;;;;
214;Islas Marshall;13 000;0.0;108°;Islas Marshall;0733;0732;0722;0691;0666;N / D;0001
174;Islas Salomón;105 000;0.0;156°;Islas Salomón;0584;0583;0579;0576;0564;0547;0001
227;Islas Turcas y Caicos (RU);5 000;0.0;;;;;;;;;
220;Islas Vírgenes Británicas (RU);7 000;0.0;;;;;;;;;
204;Islas Vírgenes de los Estados Unidos;27 000;0.0;;;;;;;;;
127;Israel;1 284 000;5.0;27°;Israel;0919;0921;0912;0902;0889;0839;0002
10;Italia;46 392 000;186.0;29°;Italia;0915;0905;0899;0889;0887;0849;0010
122;Jamaica;1 407 000;6.0;117°;Jamaica;0720;0718;0711;0713;0708;0659;0002
5;Japón;84 353 000;338.0;23°;Japón;0925;0921;0922;0917;0907;0889;0004
189;Jersey (RU);57 000;0.0;;;;;;;;;
151;Jordania;438 000;2.0;100°;Jordania;0754;0751;0743;0738;0732;0672;0003
54;Kazajistán;6 656 000;27.0;60°;Kazajistán;0837;0831;0831;0826;0781;0692;0001
62;Kenia;5 774 000;23.0;144°;Kenia;0628;0626;0600;0583;0552;0500;0002
114;Kirguistán;1 751 000;7.0;117°;Kirguistán;0720;0717;0700;0695;0668;0627;0005
199;Kiribati;38 000;0.0;140°;Kiribati;0644;0642;0632;0623;0600;0588;0002
141;Kosovo;767 000;3.0;;;;;;;;;
171;Kuwait;154 000;1.0;52°;Kuwait;0852;0845;0837;0832;0812;0778;0007
115;Laos;1 685 000;7.0;147°;Laos;0617;0614;0616;0604;0556;0473;0005
144;Lesoto;579 000;2.0;167°;Lesoto;0550;0547;0537;0517;0478;0462;0003
112;Letonia;1 923 000;8.0;41°;Letonia;0889;0879;0880;0865;0846;0769;0010
136;Liberia;916 000;4.0;177°;Liberia;0510;0508;0498;0480;0467;0443;0002
131;Libia;1 131 000;5.0;115°;Libia;0721;0741;0688;0728;0755;0727;0020
213;Liechtenstein;14 000;0.0;17°;Liechtenstein;0938;0936;0929;0925;0914;0882;0002
96;Lituania;2 565 000;10.0;39°;Lituania;0895;0888;0888;0869;0854;0778;0007
158;Luxemburgo;297 000;1.0;25°;Luxemburgo;0922;0922;0916;0913;0909;0861;0000
125;Líbano;1 350 000;5.0;102°;Líbano;0752;0755;0750;0763;0750;0710;0003
166;Macao (China);197 000;1.0;;;;;;;;;
129;Macedonia del Norte;1 251 000;5.0;68°;Macedonia del Norte;0815;0811;0783;0795;0765;0686;0004
76;Madagascar;3 954 000;16.0;183°;Madagascar;0487;0483;0483;0501;0493;0443;0004
